,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
326,KOR,Asia,South Korea,2020-12-12,42766.0,1030.0,745.7139999999999,580.0,2.0,5.0,834.1460000000001,20.09,14.545,11.312999999999999,0.039,0.098,1.43,,,,,,,,,29597.0,3263122.0,63.647,0.5770000000000001,21270.0,0.415,0.035,28.5,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
327,KOR,Asia,South Korea,2020-12-13,43484.0,718.0,760.429,587.0,7.0,5.428999999999999,848.1510000000001,14.005,14.832,11.449000000000002,0.13699999999999998,0.106,1.36,,,,,,,,,21344.0,3284466.0,64.063,0.41600000000000004,22474.0,0.43799999999999994,0.034,29.6,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,4.18
328,KOR,Asia,South Korea,2020-12-14,44364.0,880.0,801.2860000000001,600.0,13.0,6.857,865.315,17.164,15.629000000000001,11.703,0.254,0.134,1.35,,,,,,,,,23326.0,3307792.0,64.518,0.455,23775.0,0.46399999999999997,0.034,29.7,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
329,KOR,Asia,South Korea,2020-12-15,45442.0,1078.0,858.571,612.0,12.0,8.0,886.341,21.026,16.746,11.937000000000001,0.23399999999999999,0.156,1.33,,,,,,,,,,,,,28691.0,0.56,0.03,33.4,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
330,KOR,Asia,South Korea,2020-12-16,46453.0,1011.0,907.857,634.0,22.0,10.0,906.061,19.719,17.708,12.366,0.429,0.195,1.28,,,,,,,,,,3393985.0,66.199,,30833.0,0.601,0.028999999999999998,34.0,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
331,KOR,Asia,South Korea,2020-12-17,47515.0,1062.0,961.2860000000001,645.0,11.0,10.429,926.775,20.714000000000002,18.75,12.581,0.215,0.203,1.25,,,,,,,,,45597.0,3439582.0,67.089,0.889,33486.0,0.653,0.028999999999999998,34.8,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
332,KOR,Asia,South Korea,2020-12-18,48570.0,1055.0,976.2860000000001,659.0,14.0,11.571,947.3530000000001,20.578000000000003,19.042,12.854000000000001,0.273,0.226,1.23,,,,,,,,,39595.0,3479177.0,67.861,0.772,35093.0,0.684,0.027999999999999997,35.9,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
333,KOR,Asia,South Korea,2020-12-19,49665.0,1095.0,985.571,674.0,15.0,13.429,968.711,21.358,19.223,13.145999999999999,0.293,0.262,1.22,,,,,,,,,40837.0,3520014.0,68.658,0.797,36699.0,0.716,0.027000000000000003,37.2,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
334,KOR,Asia,South Korea,2020-12-20,50591.0,926.0,1015.2860000000001,698.0,24.0,15.857000000000001,986.7719999999999,18.062,19.803,13.614,0.46799999999999997,0.309,1.18,,,,,,,,,23605.0,3543619.0,69.118,0.46,37022.0,0.722,0.027000000000000003,36.5,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,0.56
335,KOR,Asia,South Korea,2020-12-21,51460.0,869.0,1013.7139999999999,722.0,24.0,17.429000000000002,1003.722,16.95,19.772000000000002,14.083,0.46799999999999997,0.34,1.12,,,,,,,,,23804.0,3567423.0,69.582,0.46399999999999997,37090.0,0.723,0.027000000000000003,36.6,people tested,,,,,,,,,,57.87,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
336,KOR,Asia,South Korea,2020-12-22,52550.0,1090.0,1015.429,739.0,17.0,18.143,1024.982,21.26,19.805999999999997,14.414000000000001,0.332,0.354,1.1,,,,,,,,,53880.0,3621303.0,70.633,1.051,38631.0,0.753,0.026000000000000002,38.0,people tested,,,,,,,,,,61.57,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
337,KOR,Asia,South Korea,2020-12-23,53533.0,983.0,1011.429,756.0,17.0,17.429000000000002,1044.156,19.173,19.727999999999998,14.745999999999999,0.332,0.34,1.09,,,,,,,,,52159.0,3673462.0,71.65,1.0170000000000001,39925.0,0.779,0.025,39.5,people tested,,,,,,,,,,67.13,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
338,KOR,Asia,South Korea,2020-12-24,54770.0,1237.0,1036.4289999999999,773.0,17.0,18.285999999999998,1068.2830000000001,24.128,20.215,15.077,0.332,0.35700000000000004,1.12,,,,,,,,,58215.0,3731677.0,72.786,1.135,41728.0,0.8140000000000001,0.025,40.3,people tested,,,,,,,,,,68.98,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
339,KOR,Asia,South Korea,2020-12-25,55902.0,1132.0,1047.4289999999999,793.0,20.0,19.143,1090.363,22.08,20.43,15.467,0.39,0.373,1.09,,,,,,,,,50891.0,3782568.0,73.779,0.993,43342.0,0.845,0.024,41.4,people tested,,,,,,,,,,68.98,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,
